abdul: munar dusay tabara soley albert jaime gasol tauler abdul ayza
abilities: habilidades habilidad capacidades sobrehumanos sobrehumanas cualidades sobrehumano destrezas innatas sobrehumana
aboard: bordo tripulación tripulante tripulantes tripular barco embarcado carguero tripulaciones zarpando
abolished: abolida abolió abolido abolidas suprimiéndose abolidos aboliendo suprimió abolieron restablecía
aboriginal: wiradjuri noongar aborigen wurundjeri aborígenes haudenosaunee inuit indígena aboriginal tribal
absent: ausente ausencia ausentes ausencias carecer carece carente ausentado removida suplido
abstract: abstracta abstracto abstracción abstractas abstractos abstraction abstrae abstracciones figurativa abstraer
acceptance: aceptación rechazo aceptabilidad reprobación inconformidad desaprobación asentimiento satisfacción compromiso apego
accidentally: accidentalmente inadvertidamente involuntariamente misteriosamente casualmente repente arrojándole arrojándolo destroza fortuitamente
accidents: accidentes incidentes accidentales accidente fatales automovilísticos fatalidades percances fallecen fallecimientos
accommodate: acomodar acoger alojar albergar acomodarse adaptarlo ampliarse cabida cubrir adecuar
accomplished: lograda perfeccionada realizadora consumado consumada realizable logradas perfeccionando artífice realizando
accounting: contabilidad contables contable auditoría contaduría auditorías microfinanzas valuación contabilización registración
accuracy: precisión exactitud imprecisión fiabilidad precisiones imprecisiones calibrar precisos inexactitud confiabilidad
ace: blitz checkmate sparx fly ace kid unabomber bomber mite impulse
achievements: logros méritos merecimientos sobresalientes sobresalido meritorios reconocimientos logrados laureados sobresalieron
acknowledged: reconoció reconocía reconocieron reconocería reconociendo reconocían reconocerían contradecía cuestionaba reconociéndose
acquisition: adquisición adquisiciones compra adquiriera adquiriese adquirida facturación recompra adquiridos accionarial
activated: activada activado activados activadas activador activando reactivada desactivado desactivados desactivada
addresses: destinatarios remitentes referenciales notificaciones confidenciales direcciones personales» destinatario proxys anónimas
adequate: adecuada insuficiente necesaria suficiente deficiente escasa adecuado imprescindible indispensable suficientes
administered: administrada administra administradas administrado administrará administrados administrando administraron administran administrara
admission: admisión admisiones convalidación concurra gratuidad carnés empadronamiento preceptivo colegiación matriculación
admit: admitir admitirlo creerlo entenderla convencerme demostrarla responderle aceptarla demostrarles creerle
adoption: adopción adopciones adoptadas adoptada adoptado adoptados equiparación adoptaran adoptarán adoptar
adrian: adrian david julian wiliam edgar harold mark oliver frank henry
adr: pup edcp crt tesis_título map ll otro_título tcm mapa_alternativo arms
advertisement: publicitario publicitaria publicitar publicitando publicidad publicitarse publicitado publicitó publicita publicitada
advised: aconsejaron recomendó aconsejó recomendaron aconsejando aconsejado aconsejaría aconsejarle recomendara recomendando
advisor: asesor consejero consultor asesora asesorado asesoraba asesoró asesorando delegado asesorada
advocacy: activismo concienciación concientización visibilización antidiscriminación asociacionismo comunitarismo invisibilización promueva abogar
affiliate: afiliada afiliado afiliadas afilia afiliados unimás nbcuniversal afiliación cnb telecorporación
afl: aafc npsl lnd patriots mlb indians nhl senators truckers gather
aftermath: acontecida conmociones ocurrida acontecidos conmocionó acontecido desencadenaron acaecidos ocurridos acontecieron
afternoon: mañana madrugada madrugadas medianoche anochecer mediodía mañanas sábado noche matinal
agenda: políticas agenda partidista agendas deslegitimar políticas» desprestigiar decididamente partidismo proselitista
aggregate: medirse localías golea clasificando golear clasificarse goleando definitorio clasificándolo bonificación
aggressive: agresiva agresivo agresivas agresivamente agresividad agresivos evasiva enérgica cautelosa desafiante
agrees: niega acepta pide convence acepte convenza promete acuerda rechaza quiere
ahmad: muhammad masih muhamad muzaffar sardar fazil talat dusay abdulla kalbi
ahmed: brahim serrahima saadi afif dusay saborit finat segú sadi margallo
aids: sida vih/sida aids invisibilización prevención autoayuda discapacitado vih discapacitada discapacidades
aims: pretende contribuyan finalidad objetivo pretenden fomentar promoverá promover contribuya contribuirá
ain: ain olvídame viviré llores salí llore olvídate ríes portet amé
airfield: aeródromo aeródromos aérodromo aeropuerto aeroclub aeronaval aéreo aeropuerto_secundario /xi /xii
albania: albania albanesa albanesas albanés montenegrina macedonia serbia vlorë shkodër croacia
albanian: albanesa albanés albanesas croata albaneses kosovar bosnio montenegrina montenegrinos serbocroata
albany: albany richmond plattsburgh amherst lewiston raleigh charleston haven charlestown burlington
alexandria: alejandría alexandría alejandria alexandria siris edessa mineápolis neápolis smyrna damasceno
algeria: argelia marruecos túnez argelina mauritania libia mauritana malí argel senegal
algorithm: algoritmo algoritmos algorithm algorítmico criptograma polinómico recursivo factorización iterativo aleatorización
alias: alias flag heraldista loc quino alías pseudónimo seudónimo bandera miguelón
allan: allan nathaniel algernon edgard edgar rosser nathanson robert dunford nathan
allegedly: presuntamente supuestamente alegaron presunto alegó supuestas presunta presuntas falsamente presuntos
allmusic: allmusic pareles sputnikmusic times» popdust rolling here» discogs stone» groove»
