abdul: abdulrahman nasir zakir saeed hussain muhammadu abdelrahman fahad abdul mohamad
aberdeen: szczecin wągrowiec goślina pniewy sulechów skwierzyna gniezno poznański wolsztyn poznań
abortion: aborcja aborcyjny eutanazja antykoncepcja antyaborcyjny lesbijka legalizacja antykoncepcyjny pedofilia homoseksualny
absent: nieobecny wyjątek niepełny poprzerywać brak szczątkowy pozbawić zaznaczyć nieliczny nieobecność
acceptance: akceptacja akceptacyjny samoakceptacja akceptować akcept jednomyślność oczekiwanie niezbędność akceptant oficjalność
accommodate: dostosować wygospodarować przystosować przystosowywać dostosowywać zmieścić powiększyć przestronny udogodnienie rozbudować
accordance: zgodnie stosownie precyzować obowiązywać normować niezgodnie uzgodnić przestrzegać zasada uzgodnienie
accounting: rachunkowość rachunkowy księgowość bankowość rozliczeniowy księgowy rozrachunkowy księgować przeliczeniowy rzeczoznawstwo
accuracy: niedokładność dokładność precyzja precyzyjność niedokładny korygować dokładny trafność poprawność porównywalność
ace: balloon seabees flying sackler burroughs babe commanders commander horned ace
acre: hektar hektarowy ha ar osiedle akr mórg mbliższa morysin retkinia
activated: aktywować zaktywować uaktywniać dezaktywować inaktywować uaktywnić dezaktywacja zdezaktywować wyzwalać wyzwalacz
administered: administrować działać wydzielić ustanowić miejscowy sierocy funkcjonować ordynować przeciwgruźliczy zaordynować
admission: egzaminacyjny 2-letnie pomaturalny legitymacja audytoryjny obostrzenie ulgowy uprawniać bezterminowy 5-letnie
adoption: wprowadzić upowszechnić adopcja legalizacja prawodawstwo zaadoptować legalizacyjny adopcyjny obowiązywać wdrożyć
adrian: adrian sebastian marcela damian nica sylwester ilian ciprian nicol adriana
advertisement: reklamowy reklama reklamować reklamówka zareklamować rozreklamować reklame promocyjny telegazeta gazetowy
advisor: doradca konsultant wicedyrektor zastępca ds dyrektor współprzewodniczyć rzecznik szefować dyrektorski
affiliate: zrzeszać zrzeszyć eurozet ictv afiliować tvl współprowadzić stowarzyszenie uktv euro-centrum
afl: gksż pzfa zprp pzpn pzkb pzkol plmma kr-u pzhl opzz
afternoon: popołudniowy popołudnie przedpołudnie przedpołudniowy wieczór wieczorny poranny poranek rano ranek
agenda: lobbystyczny integracja lobbować strategia polityka deliberacja narodowegokonserwatysty lobbing popierać przyszłościowy
aggressive: agresywny agresywnie nieagresywny prowokować agresywność uporczywy biernie energicznie skłonny ambitnie
ahmad: bahman muzaffar abdulrahman zakir mohammad afzal احمد salman rahman ahmad
ahmed: hassan abdulrahman ahmad mostafa سعيد mahmouda as-sani emiracki مصطفى muhamed
aids: aids amnesty hiv diabetyk panoptykon autyzm alkoholizm humanitarny antyalkoholowy malaria
ain: ain hah boum barış sory chalte nay okay sool yer
albania: albania bułgaria macedonia czarnogóra chorwacja albanian vlorë serbia albański bośnia
algebra: algebra algebraic algebraiczny algebras -algebra algebraicznie podalgebrą euklidesowy σ-algebrą -algebrą
algeria: algieria tunezja maroko mauretania libia senegal majotta burkina tunis kabylia
algorithm: algorytm rekurencyjny algorytmika algorytmiczny aproksymacja kryptogram wielomianowy wektoryzacja iteracja algorithm
alias: pseudonim jey blacklist tuv orde bandera2 dza kickboxer gob marr
allmusic: allmusic album remind tracks idolator feel superunknown grammy solowy longplay
alphabet: alfabet cyrylicki cyrylica łacinka ligatura grażdanka fonetyczny diakrytyczny abrewiatura diakrytyka
alto: alto clarinet bandoneon sonora parla altos teno grosso grande procópio
amazing: niesamowity niezwykły sun-times świetny supergwiazda kalejdoskop oszałamiać wspaniały perfekcyjny otaku
americas: ameryka południowoamerykański północnoamerykański środkowoamerykański angloamerykański ogólnoamerykański przedkolumbijski mezoamerykański wschodnioamerykańskiej tubylczy
ammunition: amunicja amunicyjny zdobyczny armatka lontowy uzbrajać armata pocisk moździerz uzbroić
